drug,reaction,atom_idx,element,effect,baseline_score
empagliflozin,Lactic acidosis,21,C,-0.001640617847442627,0.8664347529411316
empagliflozin,Lactic acidosis,22,C,-0.0020239949226379395,0.8664347529411316
empagliflozin,Lactic acidosis,23,C,-0.002634704113006592,0.8664347529411316
empagliflozin,Lactic acidosis,24,O,0.006648361682891846,0.8664347529411316
empagliflozin,Lactic acidosis,25,C,-0.0032727718353271484,0.8664347529411316
empagliflozin,Lactic acidosis,26,O,0.004500746726989746,0.8664347529411316
empagliflozin,Lactic acidosis,27,O,0.0022369027137756348,0.8664347529411316
empagliflozin,Lactic acidosis,28,O,0.0028424859046936035,0.8664347529411316
empagliflozin,Lactic acidosis,29,O,0.004175364971160889,0.8664347529411316
empagliflozin,Lactic acidosis,30,Cl,-0.0003291964530944824,0.8664347529411316
empagliflozin,Nausea,0,C,-0.0023362040519714355,0.9155460000038147
empagliflozin,Nausea,1,C,-0.0014527440071105957,0.9155460000038147
empagliflozin,Nausea,2,O,0.0011757612228393555,0.9155460000038147
empagliflozin,Nausea,3,C,-0.0007377266883850098,0.9155460000038147
empagliflozin,Nausea,4,C,-0.0023685097694396973,0.9155460000038147
empagliflozin,Nausea,5,O,0.0017440319061279297,0.9155460000038147
empagliflozin,Nausea,6,C,0.0014156103134155273,0.9155460000038147
empagliflozin,Nausea,7,C,0.0001780390739440918,0.9155460000038147
empagliflozin,Nausea,8,C,-0.00010377168655395508,0.9155460000038147
empagliflozin,Nausea,9,C,-0.001775205135345459,0.9155460000038147
empagliflozin,Nausea,10,C,-0.00010377168655395508,0.9155460000038147
empagliflozin,Nausea,11,C,0.0001780390739440918,0.9155460000038147
empagliflozin,Nausea,12,C,0.0061073899269104,0.9155460000038147
empagliflozin,Nausea,13,C,-0.005282759666442871,0.9155460000038147
empagliflozin,Nausea,14,C,-0.00514531135559082,0.9155460000038147
empagliflozin,Nausea,15,C,0.0021983981132507324,0.9155460000038147
empagliflozin,Nausea,16,C,0.002370595932006836,0.9155460000038147
empagliflozin,Nausea,17,C,0.0008749961853027344,0.9155460000038147
empagliflozin,Nausea,18,C,0.014869451522827148,0.9155460000038147
empagliflozin,Nausea,19,C,0.000688016414642334,0.9155460000038147
empagliflozin,Nausea,20,C,-0.0006815195083618164,0.9155460000038147
empagliflozin,Nausea,21,C,-0.0010807514190673828,0.9155460000038147
empagliflozin,Nausea,22,C,-0.0021401643753051758,0.9155460000038147
empagliflozin,Nausea,23,C,-0.00227963924407959,0.9155460000038147
empagliflozin,Nausea,24,O,0.0067806243896484375,0.9155460000038147
empagliflozin,Nausea,25,C,-0.001469254493713379,0.9155460000038147
empagliflozin,Nausea,26,O,0.0021706819534301758,0.9155460000038147
empagliflozin,Nausea,27,O,0.0030871033668518066,0.9155460000038147
empagliflozin,Nausea,28,O,0.0036853551864624023,0.9155460000038147
empagliflozin,Nausea,29,O,0.004484593868255615,0.9155460000038147
empagliflozin,Nausea,30,Cl,-0.0008418560028076172,0.9155460000038147
empagliflozin,Urinary tract infection,0,C,-0.010512769222259521,0.6422433853149414
